路径	类型	新状态	依据
D:\博士\Phospho\Control_KS_results.csv	数据表	活	Phospho\0331.py:9620（写出）；Phospho\0210trying.ipynb:c75:281（写出）
D:\博士\Phospho\Fig2_WithinGroup_HighLow_v2.tiff	图	活	Phospho\0331.py:8639（写出）；Phospho\0210trying.ipynb:c70:155（写出）
D:\博士\Phospho\Fig2_WithinGroup_HighLow_v3_BH.png	图	活	Phospho\0331.py:11698（写出）；Phospho\0210trying.ipynb:c87:490（写出）
D:\博士\Phospho\Fig2_WithinGroup_HighLow_v3_BH.tiff	图	活	Phospho\0331.py:11697（写出）；Phospho\0210trying.ipynb:c87:489（写出）
D:\博士\Phospho\Fig3_BetweenGroup_Heatmap_v7_BH.png	图	活	Phospho\0331.py:11134（写出）；Phospho\0210trying.ipynb:c83:182（写出）
D:\博士\Phospho\Fig3_BetweenGroup_Heatmap_v7_BH.tiff	图	活	Phospho\0331.py:11133（写出）；Phospho\0210trying.ipynb:c83:181（写出）
D:\博士\Phospho\Fig_BANDLE_CrossValidation.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Control_Phospho_vs_NonPhospho.tiff	图	活	Phospho\0331.py:9694（写出）；Phospho\0210trying.ipynb:c75:355（写出）
D:\博士\Phospho\Fig_GO_Temporal_Counts.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Counts.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Heatmap.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Heatmap.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Heatmap_clean.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Heatmap_clean.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Heatmap_Top5_10_15.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Heatmap_Top5_10_15.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Top10.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Top10.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Top15.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Top15.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Top16_30.png	图	活	Phospho\0331.py:13894（写出）；Phospho\0210trying.ipynb:c113:77（写出）
D:\博士\Phospho\Fig_GO_Temporal_Top16_30.tiff	图	活	Phospho\0331.py:13893（写出）；Phospho\0210trying.ipynb:c113:76（写出）
D:\博士\Phospho\Fig_GO_Temporal_Top1_15.png	图	活	Phospho\0331.py:13894（写出）；Phospho\0210trying.ipynb:c113:77（写出）
D:\博士\Phospho\Fig_GO_Temporal_Top1_15.tiff	图	活	Phospho\0331.py:13893（写出）；Phospho\0210trying.ipynb:c113:76（写出）
D:\博士\Phospho\Fig_GO_Temporal_Top30.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Top30.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Top30_horizontal.png	图	活	Phospho\0331.py:13653（写出）；Phospho\0210trying.ipynb:c111:65（写出）
D:\博士\Phospho\Fig_GO_Temporal_Top30_horizontal.tiff	图	活	Phospho\0331.py:13652（写出）；Phospho\0210trying.ipynb:c111:64（写出）
D:\博士\Phospho\Fig_GO_Temporal_Top5.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_GO_Temporal_Top5.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Kinase_Abundance_TimeCourse.png	图	活	Phospho\0210trying.ipynb:c115:238（写出）
D:\博士\Phospho\Fig_Kinase_Abundance_TimeCourse.tiff	图	活	Phospho\0210trying.ipynb:c115:239（写出）
D:\博士\Phospho\Fig_Kinase_Count_Heatmap.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Kinase_Count_Heatmap.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Kinase_FoldChange_Heatmap.png	图	活	Phospho\0210trying.ipynb:c115:307（写出）
D:\博士\Phospho\Fig_Kinase_FoldChange_Heatmap.tiff	图	活	Phospho\0210trying.ipynb:c115:308（写出）
D:\博士\Phospho\Fig_Kinase_Phosphosite_Count_Combined.png	图	活	Phospho\0210trying.ipynb:c116:357（写出）
D:\博士\Phospho\Fig_Kinase_Phosphosite_Count_Combined.tiff	图	活	Phospho\0210trying.ipynb:c116:358（写出）
